"METRIC","SC","AC_5","Pw","Pr","Pj","Sb","Sw","Bf","Ce","La","He","Po","Bw","Mh","OH"
"BA",3,60,32.20,36.20,22.70,21.80,22.50,21.80,15.30,15.30,19.40,28.10,20.20,19.40,19.40
"BA",3,65,32.90,37.20,23.00,23.60,24.30,23.60,16.50,16.50,20.40,28.80,20.40,20.40,20.40
"BA",3,70,33.50,38.00,23.30,25.20,26.00,25.20,17.60,17.60,21.40,29.20,20.40,21.40,21.40
"BA",3,75,34.00,38.60,23.50,26.60,27.40,26.60,18.60,18.60,22.30,29.50,20.50,22.30,22.30
"BA",3,80,34.40,39.10,23.70,27.90,28.70,27.90,19.50,19.50,23.10,29.60,20.60,23.10,23.10
"BA",3,85,34.70,39.50,23.80,29.10,30.00,29.10,20.40,20.40,23.90,29.60,20.60,23.90,23.90
"BA",3,90,34.90,39.90,23.90,30.20,31.10,30.20,21.10,21.10,24.60,29.60,20.40,24.60,24.60
"BA",3,95,35.10,40.20,23.90,31.20,32.10,31.20,21.80,21.80,25.30,29.50,20.20,25.30,25.30
"BA",3,100,35.30,40.40,23.50,32.00,33.00,32.00,22.40,22.40,25.90,29.50,20.00,25.90,25.90
"BA",3,105,35.40,40.60,23.10,32.70,33.70,32.70,22.90,22.90,26.50,29.00,19.80,26.50,26.50
"BA",3,110,35.40,40.70,22.70,33.30,34.30,33.30,23.30,23.30,27.00,28.50,19.60,27.00,27.00
"BA",3,115,35.40,40.80,22.30,33.80,34.80,33.80,23.70,23.70,27.50,28.00,19.40,27.50,27.50
"BA",3,120,35.50,40.90,21.90,34.20,35.20,34.20,23.90,23.90,27.90,27.50,19.20,27.90,27.90
"BA",3,125,35.50,41.00,21.50,34.50,35.50,34.50,24.20,24.20,28.40,27.00,19.00,28.40,28.40
"BA",3,130,35.60,41.00,21.10,34.70,35.70,34.70,24.30,24.30,28.70,26.50,18.80,28.70,28.70
"BA",3,135,35.60,41.00,20.70,34.80,35.80,34.80,24.40,24.40,29.10,26.00,18.60,29.10,29.10
"BA",3,140,35.60,41.10,20.30,34.90,35.90,34.90,23.50,23.50,29.40,25.50,18.40,29.40,29.40
