METRIC,SC,AC_5,Pw,Pr,Pj,Sb,Sw,Bf,Ce,La,He,Po,Bw,Mh,OH
BA,4,175,35.8,41.2,17.5,33.5,34.5,33.5,17.5,17.5,30.8,22,17,30.8,30.8
BA,4,180,35.8,41.2,17.1,33.3,34.3,33.3,16.6,16.6,31,21.5,16.8,31,31
BA,4,185,35.8,41.2,16.7,33.1,34.1,33.1,15.8,15.8,31.1,21,16.6,31.1,31.1
BA,4,190,35.8,41.2,16.3,32.9,33.9,32.9,14.9,14.9,31.1,20.5,16.4,31.1,31.1
BA,4,195,35.8,41.2,15.9,32.7,33.7,32.7,14,14,31.1,20,16.2,31.1,31.1
BA,4,200,35.8,41.2,15.5,32.5,33.5,32.5,13.2,13.2,31.1,19.5,16,31.1,31.1
BA,4,205,35.8,41.2,15.1,32.3,33.3,32.3,12.3,12.3,31.1,19,15.8,31.1,31.1
BA,4,210,35.8,41.2,14.7,32.1,33.1,32.1,11.5,11.5,31.1,18.5,15.6,31.1,31.1
BA,4,215,35.8,41.2,14.3,31.9,32.9,31.9,10.6,10.6,31.1,18,15.4,31.1,31.1
BA,4,220,35.8,41.2,13.9,31.7,32.7,31.7,9.7,9.7,31.1,17.5,15.2,31.1,31.1
BA,4,225,35.8,41.2,13.5,31.5,32.4,31.5,8.9,8.9,31.1,17,15,31.1,31.1
BA,4,230,35.8,41.2,13.1,31.3,32.2,31.3,8,8,31.1,16.5,14.8,31.1,31.1
BA,4,235,35.8,41.2,12.7,31.1,32,31.1,7.2,7.2,31.1,16,14.6,31.1,31.1
BA,4,240,35.8,41.2,12.3,30.9,31.8,30.9,6.3,6.3,31.1,15.5,14.4,31.1,31.1
BA,4,245,35.8,41.2,12.3,30.9,31.8,30.9,6.3,6.3,31.1,15.5,14.4,31.1,31.1
BA,4,250,35.8,41.2,12.3,30.9,31.8,30.9,6.3,6.3,31.1,15.5,14.4,31.1,31.1
